trace_id,failure_mode,notes
synthetic_727f6de8,none,Normal agent execution completed successfully.
synthetic_aaf1b322,none,Normal agent execution completed successfully.
synthetic_86c9fdd1,none,Normal agent execution completed successfully.
synthetic_8ab99918,none,Normal agent execution completed successfully.
synthetic_04f3d781,none,Normal agent execution completed successfully.
synthetic_82f22cd2,none,Normal agent execution completed successfully.
synthetic_a2bd786f,none,Normal agent execution completed successfully.
synthetic_ca19f6d7,none,Normal agent execution completed successfully.
synthetic_ab42eadc,none,Normal agent execution completed successfully.
synthetic_db2745c2,none,Normal agent execution completed successfully.
synthetic_530a43ea,none,Normal agent execution completed successfully.
synthetic_ad452eff,none,Normal agent execution completed successfully.
synthetic_bec770a5,none,Normal agent execution completed successfully.
synthetic_d5a4719d,none,Normal agent execution completed successfully.
synthetic_0579b03c,none,Normal agent execution completed successfully.
synthetic_9178d6a3,none,Normal agent execution completed successfully.
synthetic_11b25e27,none,Normal agent execution completed successfully.
synthetic_64c58189,none,Normal agent execution completed successfully.
synthetic_d6efcfca,none,Normal agent execution completed successfully.
synthetic_f0d69362,none,Normal agent execution completed successfully.
synthetic_89e71a08,none,Normal agent execution completed successfully.
synthetic_7f5dfd01,none,Normal agent execution completed successfully.
synthetic_8d1b4bf9,none,Normal agent execution completed successfully.
synthetic_4072f473,none,Normal agent execution completed successfully.
synthetic_1ff3f901,none,Normal agent execution completed successfully.
synthetic_9376ae85,none,Normal agent execution completed successfully.
synthetic_efa8b7a1,none,Normal agent execution completed successfully.
synthetic_9c3375a4,none,Normal agent execution completed successfully.
synthetic_4dcfda93,none,Normal agent execution completed successfully.
synthetic_87d0b210,none,Normal agent execution completed successfully.
synthetic_0b403147,none,Normal agent execution completed successfully.
synthetic_8847e1c3,none,Normal agent execution completed successfully.
synthetic_6792968f,none,Normal agent execution completed successfully.
synthetic_dd6e61a1,none,Normal agent execution completed successfully.
synthetic_ee678c7a,none,Normal agent execution completed successfully.
synthetic_040bfe7f,none,Normal agent execution completed successfully.
synthetic_206522e7,none,Normal agent execution completed successfully.
synthetic_f93fa1db,none,Normal agent execution completed successfully.
synthetic_208f9517,none,Normal agent execution completed successfully.
synthetic_0dba9c34,none,Normal agent execution completed successfully.
synthetic_71a24117,none,Normal agent execution completed successfully.
synthetic_80613fee,none,Normal agent execution completed successfully.
synthetic_8b743738,none,Normal agent execution completed successfully.
synthetic_bff1faaf,none,Normal agent execution completed successfully.
synthetic_3ea177b8,none,Normal agent execution completed successfully.
synthetic_a6b50cef,none,Normal agent execution completed successfully.
synthetic_07ea6955,none,Normal agent execution completed successfully.
synthetic_bf815b5b,none,Normal agent execution completed successfully.
synthetic_fc34492c,none,Normal agent execution completed successfully.
synthetic_5f3b9487,none,Normal agent execution completed successfully.
synthetic_e52c48fa,none,Normal agent execution completed successfully.
synthetic_da2587d4,none,Normal agent execution completed successfully.
synthetic_c3253c36,none,Normal agent execution completed successfully.
synthetic_a3373c72,none,Normal agent execution completed successfully.
synthetic_6a53b8bb,none,Normal agent execution completed successfully.
synthetic_174126fa,none,Normal agent execution completed successfully.
synthetic_6e40a505,none,Normal agent execution completed successfully.
synthetic_99c4de80,none,Normal agent execution completed successfully.
synthetic_4969f36b,none,Normal agent execution completed successfully.
synthetic_2bfc0879,none,Normal agent execution completed successfully.
synthetic_d27aaba3,none,Normal agent execution completed successfully.
synthetic_77a5695f,none,Normal agent execution completed successfully.
synthetic_5959bf9c,none,Normal agent execution completed successfully.
synthetic_9c5969d1,none,Normal agent execution completed successfully.
synthetic_f0b575ed,none,Normal agent execution completed successfully.
synthetic_f803491a,none,Normal agent execution completed successfully.
synthetic_729e7ab2,none,Normal agent execution completed successfully.
synthetic_17322956,none,Normal agent execution completed successfully.
synthetic_92a71b24,none,Normal agent execution completed successfully.
synthetic_f3a1e779,none,Normal agent execution completed successfully.
synthetic_f873361e,none,Normal agent execution completed successfully.
synthetic_0d1730bc,none,Normal agent execution completed successfully.
synthetic_3f58a6db,none,Normal agent execution completed successfully.
synthetic_b5b602c1,none,Normal agent execution completed successfully.
synthetic_21d2d203,none,Normal agent execution completed successfully.
synthetic_bfa7a545,none,Normal agent execution completed successfully.
synthetic_423b8d77,none,Normal agent execution completed successfully.
synthetic_031865b4,none,Normal agent execution completed successfully.
synthetic_5e2606aa,none,Normal agent execution completed successfully.
synthetic_4861ab63,none,Normal agent execution completed successfully.
synthetic_f9d9d0ae,none,Normal agent execution completed successfully.
synthetic_0e52cf17,none,Normal agent execution completed successfully.
synthetic_8cdafb34,none,Normal agent execution completed successfully.
synthetic_51826d2e,none,Normal agent execution completed successfully.
synthetic_e7427595,none,Normal agent execution completed successfully.
synthetic_8879bd31,none,Normal agent execution completed successfully.
synthetic_d7550e06,none,Normal agent execution completed successfully.
synthetic_4e96f51a,none,Normal agent execution completed successfully.
synthetic_62addf99,none,Normal agent execution completed successfully.
synthetic_77d58afc,none,Normal agent execution completed successfully.
synthetic_b4970574,none,Normal agent execution completed successfully.
synthetic_73d50bde,none,Normal agent execution completed successfully.
synthetic_21f9a8d2,none,Normal agent execution completed successfully.
synthetic_6f89f141,none,Normal agent execution completed successfully.
synthetic_6d5265e7,none,Normal agent execution completed successfully.
synthetic_3844ffcc,none,Normal agent execution completed successfully.
synthetic_031d5e96,none,Normal agent execution completed successfully.
synthetic_f8c58982,none,Normal agent execution completed successfully.
synthetic_40e5fa67,none,Normal agent execution completed successfully.
synthetic_e992dd8e,none,Normal agent execution completed successfully.
synthetic_09e9eca7,none,Normal agent execution completed successfully.
synthetic_4bd828cf,none,Normal agent execution completed successfully.
synthetic_0b885995,none,Normal agent execution completed successfully.
synthetic_431fed7a,none,Normal agent execution completed successfully.
synthetic_15be29b2,none,Normal agent execution completed successfully.
synthetic_3eadf725,none,Normal agent execution completed successfully.
synthetic_c7c97054,none,Normal agent execution completed successfully.
synthetic_4acf8333,none,Normal agent execution completed successfully.
synthetic_c072e5c2,none,Normal agent execution completed successfully.
synthetic_026f79b4,none,Normal agent execution completed successfully.
synthetic_24f33ed2,none,Normal agent execution completed successfully.
synthetic_d64089df,none,Normal agent execution completed successfully.
synthetic_52fdc06d,none,Normal agent execution completed successfully.
synthetic_1bf39b99,none,Normal agent execution completed successfully.
synthetic_095f4865,none,Normal agent execution completed successfully.
synthetic_520dab5f,none,Normal agent execution completed successfully.
synthetic_10b416fd,none,Normal agent execution completed successfully.
synthetic_b85f36a9,none,Normal agent execution completed successfully.
synthetic_6757efc5,none,Normal agent execution completed successfully.
synthetic_f3932d73,none,Normal agent execution completed successfully.
synthetic_d014514c,none,Normal agent execution completed successfully.
synthetic_d3a72540,none,Normal agent execution completed successfully.
synthetic_d809fc65,none,Normal agent execution completed successfully.
synthetic_74c7115f,none,Normal agent execution completed successfully.
synthetic_4c3ae72e,none,Normal agent execution completed successfully.
synthetic_40d0d22b,none,Normal agent execution completed successfully.
synthetic_96d306a9,none,Normal agent execution completed successfully.
synthetic_0f6460a5,none,Normal agent execution completed successfully.
synthetic_52e5b0aa,none,Normal agent execution completed successfully.
synthetic_a37799fa,none,Normal agent execution completed successfully.
synthetic_8d43e6b5,none,Normal agent execution completed successfully.
synthetic_ad605340,none,Normal agent execution completed successfully.
synthetic_e26fb204,none,Normal agent execution completed successfully.
synthetic_ae0e4fe7,none,Normal agent execution completed successfully.
synthetic_2f557821,none,Normal agent execution completed successfully.
synthetic_53ca297a,none,Normal agent execution completed successfully.
synthetic_e5d8583a,none,Normal agent execution completed successfully.
synthetic_aab2c1a9,none,Normal agent execution completed successfully.
synthetic_8c5b8996,none,Normal agent execution completed successfully.
synthetic_8a0ae2a0,none,Normal agent execution completed successfully.
synthetic_321f1101,none,Normal agent execution completed successfully.
synthetic_f392512e,none,Normal agent execution completed successfully.
synthetic_4ce91dad,none,Normal agent execution completed successfully.
synthetic_cf941eac,none,Normal agent execution completed successfully.
synthetic_b8523a0d,none,Normal agent execution completed successfully.
synthetic_f46c1fb3,none,Normal agent execution completed successfully.
synthetic_5a536c40,none,Normal agent execution completed successfully.
synthetic_17350ba7,none,Normal agent execution completed successfully.
synthetic_d3d90607,none,Normal agent execution completed successfully.
synthetic_ac36b6a1,none,Normal agent execution completed successfully.
synthetic_6aa2dd94,none,Normal agent execution completed successfully.
synthetic_9691eff3,none,Normal agent execution completed successfully.
synthetic_d609de8e,none,Normal agent execution completed successfully.
synthetic_f3de8f58,none,Normal agent execution completed successfully.
synthetic_2bc9bee7,none,Normal agent execution completed successfully.
synthetic_226f994e,none,Normal agent execution completed successfully.
synthetic_8a531f0e,none,Normal agent execution completed successfully.
synthetic_6a26ebfe,none,Normal agent execution completed successfully.
synthetic_305b7dcf,none,Normal agent execution completed successfully.
synthetic_85407e0e,none,Normal agent execution completed successfully.
synthetic_8a4f6e84,none,Normal agent execution completed successfully.
synthetic_bf91f9ae,none,Normal agent execution completed successfully.
synthetic_8c541b01,none,Normal agent execution completed successfully.
synthetic_d93b476f,none,Normal agent execution completed successfully.
synthetic_1e7b2132,none,Normal agent execution completed successfully.
synthetic_058120bb,none,Normal agent execution completed successfully.
synthetic_7c34e19b,none,Normal agent execution completed successfully.
synthetic_61f61861,none,Normal agent execution completed successfully.
synthetic_61c9ad96,none,Normal agent execution completed successfully.
synthetic_972eb4e6,none,Normal agent execution completed successfully.
synthetic_651f9264,none,Normal agent execution completed successfully.
synthetic_858746f6,none,Normal agent execution completed successfully.
synthetic_eed4204e,none,Normal agent execution completed successfully.
synthetic_6a716f2f,none,Normal agent execution completed successfully.
synthetic_99af2e87,none,Normal agent execution completed successfully.
synthetic_9f862bce,none,Normal agent execution completed successfully.
synthetic_ab48118d,none,Normal agent execution completed successfully.
synthetic_439d3d3b,none,Normal agent execution completed successfully.
synthetic_48d541d5,none,Normal agent execution completed successfully.
synthetic_0ec13614,none,Normal agent execution completed successfully.
synthetic_de334d32,none,Normal agent execution completed successfully.
synthetic_7c9a2616,none,Normal agent execution completed successfully.
synthetic_1b95c388,none,Normal agent execution completed successfully.
synthetic_40a90b01,none,Normal agent execution completed successfully.
synthetic_05dae5f8,none,Normal agent execution completed successfully.
synthetic_0274bc01,none,Normal agent execution completed successfully.
synthetic_15b9429d,none,Normal agent execution completed successfully.
synthetic_9f8bb4d8,none,Normal agent execution completed successfully.
synthetic_f383d3e3,none,Normal agent execution completed successfully.
synthetic_464e81b0,none,Normal agent execution completed successfully.
synthetic_ab339dba,none,Normal agent execution completed successfully.
synthetic_9c41a69a,none,Normal agent execution completed successfully.
synthetic_031b29e0,none,Normal agent execution completed successfully.
synthetic_2cf541a6,none,Normal agent execution completed successfully.
synthetic_ceb4562e,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_6aa5c164,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_9b05a681,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_60dacda1,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_f1060ec9,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_ad35a2a1,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_6680d1b6,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_f24a42ad,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_307e9589,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_f1b89cd1,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_ba82aeb6,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_32517eae,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_ee7d3cc2,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_4ef6c794,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_9e12527e,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_b54e093a,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_6eff5597,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_94b80bcb,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_4112e5d0,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_f1ae2cb2,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_8b55dd1c,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_e8c5201c,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_7ecb1ffa,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_9a945962,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_f243096c,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_b03bc7d8,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_a86fda8d,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_57be970d,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_5a55ee1b,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_1b1be439,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_4f4c0075,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_28ff4247,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_13101e90,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_9c8b005e,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_0d83f32b,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_a2ec2111,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_407e3854,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_fc889ada,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_71ef4492,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_5e5eb70a,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_c52be22e,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_993ea652,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_b8b2e251,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_9b5e9ed9,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_97d3509a,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_27224120,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_af8c5b26,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_2b012637,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_c8d60c12,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_7c8ca52d,infinite_loop,Agent repeatedly called the same tool with identical input.
synthetic_18643c40,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_a1cb8688,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_6a2da16c,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_bc01a04a,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_28b23b2d,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_4e00e629,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_658f9d3b,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_dba54810,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_2ae258ff,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_3cd613e3,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_50c1b59e,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_14c6556d,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_1005c706,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_56658ddf,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_239dfa25,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_1eca24c6,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_1d6e7427,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_eb1e4b4e,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_3db90479,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_ce4c671f,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_dfb6e5f4,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_d95b5d6f,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_e5db57a4,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_3b2526c5,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_d2228886,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_e7e4f1dd,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_a9875164,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_fc69af0e,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_982b2679,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_7b1efcaa,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_c0dd97f0,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_634f197f,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_9d3ba1e4,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_005cb41d,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_16144c3b,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_e0cc3ed3,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_72db62cf,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_8d9a34c6,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_34b3ccee,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_0934978f,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_a8ef3a2f,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_dc72eee4,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_e139c59c,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_e95e5a3c,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_5ecf141d,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_9dc1a034,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_d5ba7565,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_efa676f2,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_ba3a270d,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_bd8bfda7,retry_storm,Agent repeatedly retried a failing tool call with identical input.
synthetic_05abb024,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_4b47e68f,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_0af9a2dd,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_1017bab1,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_5b004c4a,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_0d3fbd13,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_939e1bce,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_aef5a598,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_aebb3757,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_df8c86c7,tool_misuse,Agent called a tool with malformed or unexpected arguments.
synthetic_b3e5f717,tool_misuse,Agent called a tool with malformed or unexpected arguments.
