trace_id,failure_mode,notes
trace_76,context_overflow,Agent forgot previously retrieved product details before generating response.
trace_77,intent_drift,Agent shifted from booking tickets to suggesting entertainment options.
trace_78,intent_drift,Agent deviated from answering question to generating unrelated explanation.
trace_79,infinite_loop,Agent repeatedly retried failing API call without adjusting parameters.
trace_80,infinite_loop,Agent kept regenerating the same response without progressing.
trace_81,none,Agent successfully completed document summarization task.
trace_82,none,Agent correctly retrieved and displayed calendar events.
trace_83,retry_storm,Agent repeatedly attempted payment processing despite consistent failure responses.
trace_84,prompt_injection,Agent followed hidden instructions embedded in website content.
trace_85,tool_misuse,Agent used incorrect database schema while forming query leading to failure.
trace_86,hallucination,Agent generated a fake error code explanation not present in system logs.
trace_87,hallucination,Agent invented product features that were not part of the catalog.
trace_88,tool_misuse,Agent used search tool instead of database query for retrieving structured data.
trace_89,tool_misuse,Agent attempted to send notification using incorrect messaging service.
trace_90,context_overflow,Agent lost key transaction details during multi-step processing.
trace_91,context_overflow,Agent failed to retain earlier constraints while generating output.
trace_92,intent_drift,Agent shifted from answering query to generating marketing content.
trace_93,intent_drift,Agent deviated from solving math problem to explaining unrelated concept.
trace_94,infinite_loop,Agent repeatedly attempted same failing operation without modification.
trace_95,infinite_loop,Agent regenerated identical responses without making progress.
trace_96,none,Agent successfully executed translation task.
trace_97,none,Agent correctly retrieved user profile information.
trace_98,retry_storm,Agent repeatedly attempted API call despite consistent service unavailability.
trace_99,prompt_injection,Agent executed malicious instructions hidden in API response data.
trace_100,tool_misuse,Agent incorrectly mapped user request to wrong database operation.
